region,depth_lbl,depth_beg,length_km,area_km2
Alaska,0-100,0,970.1225049720914,59.473618333981214
Alaska,100-200,100,1188.570424237894,73.03750218867074
Alaska,"200-1,000",200,2425.2568304223637,147.9892671385064
Alaska,">1,000",1000,11196.963435652853,682.5297207468185
Atlantic Islands,0-100,0,603.8174835666979,36.273576414121614
Atlantic Islands,100-200,100,34.91406696813376,2.1701751031622365
Atlantic Islands,"200-1,000",200,964.5892977189108,55.79893443217566
Atlantic Islands,">1,000",1000,2628.6390384050624,159.96231248201426
East,0-100,0,9558.689903625327,579.5184210649638
East,100-200,100,1550.6207502754241,94.62497200301723
East,"200-1,000",200,4364.360442510353,265.9111361792294
East,">1,000",1000,13008.72169408991,793.5561320899856
Gulf of Mexico,0-100,0,947.6317010573309,57.589520082204935
Gulf of Mexico,100-200,100,22.277657310001267,1.369673723531749
Gulf of Mexico,"200-1,000",200,122.34589615500482,7.47503632141181
Gulf of Mexico,">1,000",1000,816.7283837395036,49.79581909910017
Hawaii,0-100,0,311.8542497086411,18.618002153392375
Hawaii,100-200,100,106.69190257466697,6.5903321654514775
Hawaii,"200-1,000",200,1159.7561036392683,70.51132419485022
Hawaii,">1,000",1000,19917.74914856661,1212.304418122655
Pacific Islands,0-100,0,20.562937956088817,1.1715573660292173
Pacific Islands,100-200,100,13.556592883658947,0.8789081949122396
Pacific Islands,"200-1,000",200,378.2038486436375,23.06890853506124
Pacific Islands,">1,000",1000,4495.768200677626,273.7730262011653
West,0-100,0,1052.7095523188977,62.20430800575165
West,100-200,100,1476.1541810748568,88.11581648613922
West,"200-1,000",200,2120.157010118962,128.90795311394848
West,">1,000",1000,15809.650897742602,963.511729450386
