region,depth_lbl,depth_beg,wave_lbl,wave_beg,area_km2
Alaska,0-100,0,0-10,0,36.975781083746725
Alaska,100-200,100,0-10,0,5.082482645418674
Alaska,"200-1,000",200,0-10,0,7.278508854828082
Alaska,0-100,0,10-20,10,7.9732369490807455
Alaska,100-200,100,10-20,10,38.404896623891915
Alaska,"200-1,000",200,10-20,10,6.622906774819485
Alaska,100-200,100,20-30,20,10.006324054546296
Alaska,"200-1,000",200,20-30,20,10.219868929457226
Alaska,">1,000",1000,20-30,20,2.2663240550618857
Alaska,100-200,100,>30,30,0.7830905187282562
Alaska,"200-1,000",200,>30,30,10.513389015793143
Alaska,">1,000",1000,>30,30,9.385908099126988
Atlantic Islands,0-100,0,0-10,0,17.53327381539524
Atlantic Islands,100-200,100,0-10,0,1.7247307091646957
Atlantic Islands,"200-1,000",200,0-10,0,51.952035078912104
Atlantic Islands,">1,000",1000,0-10,0,91.14914760572687
Atlantic Islands,0-100,0,0-10,0,25.657906153232357
Atlantic Islands,100-200,100,0-10,0,0.4070687930851131
Atlantic Islands,"200-1,000",200,0-10,0,6.1561395718805745
Atlantic Islands,">1,000",1000,0-10,0,30.785617982826135
Atlantic Islands,">1,000",1000,10-20,10,41.133804285314355
Atlantic Islands,">1,000",1000,10-20,10,3.320067394716799
East,0-100,0,0-10,0,480.05434401526975
East,100-200,100,0-10,0,25.352909991662354
East,"200-1,000",200,0-10,0,174.2982631334692
East,">1,000",1000,0-10,0,9.28758933978495
East,0-100,0,10-20,10,21.7061828616239
East,100-200,100,10-20,10,0.7099493581521148
East,0-100,0,0-10,0,9.440426235002949
Gulf of Mexico,0-100,0,0-10,0,55.46308217816968
Gulf of Mexico,100-200,100,0-10,0,0.5119131252527237
Gulf of Mexico,"200-1,000",200,0-10,0,0.34826441822558335
Gulf of Mexico,">1,000",1000,0-10,0,4.9652800911576165
Hawaii,0-100,0,0-10,0,15.836783842886263
Hawaii,100-200,100,0-10,0,5.738770240659978
Hawaii,"200-1,000",200,0-10,0,46.07630519378787
Hawaii,">1,000",1000,0-10,0,40.54938205007257
Hawaii,0-100,0,10-20,10,0.4031658584761349
Hawaii,100-200,100,10-20,10,0.11759106421136856
Hawaii,"200-1,000",200,10-20,10,14.854697437516476
Hawaii,">1,000",1000,10-20,10,145.075920431082
Hawaii,"200-1,000",200,20-30,20,2.6043044532468596
Hawaii,">1,000",1000,20-30,20,96.82307634728478
Hawaii,">1,000",1000,>30,30,18.417991616034314
West,0-100,0,0-10,0,9.109294196076938
West,100-200,100,0-10,0,28.722895720773288
West,"200-1,000",200,0-10,0,14.158781040425117
West,">1,000",1000,0-10,0,8.193151852195946
West,0-100,0,10-20,10,8.70673343923912
West,100-200,100,10-20,10,2.7232647257300857
West,"200-1,000",200,10-20,10,1.743243892036046
West,">1,000",1000,10-20,10,2.3549443751945494
West,0-100,0,20-30,20,9.419048196275238
West,100-200,100,20-30,20,5.768794818947566
West,"200-1,000",200,20-30,20,24.551923122834978
West,">1,000",1000,20-30,20,0.0014644552919499765
West,0-100,0,>30,30,16.721079746765533
West,100-200,100,>30,30,33.584085719872625
West,"200-1,000",200,>30,30,85.78199187899182
West,">1,000",1000,>30,30,149.56485339908534
East,">1,000",1000,0-10,0,0.011838916605294682
