region,depth_lbl,depth_beg,wind_lbl,wind_beg,area_km2
East,0-100,0,0-7,0,3.26350472925824
East,0-100,0,7-8,7,17.140153616940317
East,0-100,0,8-9,8,208.71499005899793
East,0-100,0,9-10,9,187.41563536251394
East,100-200,100,9-10,9,8.13059743364644
East,"200-1,000",200,9-10,9,9.359318149466812
Gulf of Mexico,0-100,0,0-7,0,1.0464355799986773
Gulf of Mexico,0-100,0,7-8,7,46.42551475390562
Gulf of Mexico,">1,000",1000,7-8,7,2.7773702076615354
Hawaii,0-100,0,0-7,0,8.570268143747676
Hawaii,100-200,100,0-7,0,2.3931774666408163
Hawaii,"200-1,000",200,0-7,0,26.93964646062842
Hawaii,">1,000",1000,0-7,0,40.457066319501415
Hawaii,0-100,0,7-8,7,4.089095483391108
Hawaii,100-200,100,7-8,7,1.436359065647506
Hawaii,"200-1,000",200,7-8,7,3.313409938251182
Hawaii,">1,000",1000,7-8,7,146.74928129614
Hawaii,0-100,0,8-9,8,2.5686630034766442
Hawaii,100-200,100,8-9,8,0.8805146951038539
Hawaii,"200-1,000",200,8-9,8,25.398603734565835
Hawaii,">1,000",1000,8-9,8,76.26524420410077
Hawaii,0-100,0,9-10,9,0.8224741125535123
Hawaii,100-200,100,9-10,9,0.06588697796601056
Hawaii,"200-1,000",200,9-10,9,3.7521388327488983
Hawaii,">1,000",1000,9-10,9,2.572836670719875
Hawaii,0-100,0,10-11,10,0.8188070116918053
Hawaii,100-200,100,10-11,10,0.4855688224674582
Hawaii,"200-1,000",200,10-11,10,3.882640595972679
Hawaii,">1,000",1000,10-11,10,6.985991428726096
Hawaii,0-100,0,>11,11,0.49301043314179777
Hawaii,100-200,100,>11,11,0.6409085837438107
Hawaii,"200-1,000",200,>11,11,0.6054600407057404
Hawaii,">1,000",1000,>11,11,1.6023037152651547
West,0-100,0,0-7,0,37.53928990115904
West,100-200,100,0-7,0,51.57331809772743
West,"200-1,000",200,0-7,0,20.528985994276486
West,">1,000",1000,0-7,0,9.275637509443529
West,0-100,0,7-8,7,10.125941046410576
West,100-200,100,7-8,7,13.718813488305875
West,"200-1,000",200,7-8,7,52.48993175018934
West,">1,000",1000,7-8,7,14.828901112095103
West,0-100,0,8-9,8,11.675019175794754
West,100-200,100,8-9,8,20.310306080522388
West,"200-1,000",200,8-9,8,48.22500683889851
West,">1,000",1000,8-9,8,57.70796283902073
West,0-100,0,9-10,9,0.9292178555758
West,100-200,100,9-10,9,2.412503594975978
West,"200-1,000",200,9-10,9,7.648468498910665
West,">1,000",1000,9-10,9,37.20339380100661
West,">1,000",1000,10-11,10,12.704198350195242
