region,energy,viable_km2,cable_km2,cable_pct_viable
Alaska,">1,500",101.2789388876148,0.5090119299655873,0.502584185375814
Alaska,"1,000-1,500",162.17721475931344,1.5094229436517301,0.9307244213632961
Alaska,"500-1,000",691.4087062647623,9.128994070983554,1.3203469942259844
East,">1,500",86.85590161328591,0.06356503593729902,0.07318447538581051
East,"1,000-1,500",127.224930195994,0.1511016544380188,0.1187673313754167
East,"500-1,000",390.37824049585987,0.3969102902850562,0.10167326175272969
Gulf of Mexico,">1,500",2.7964831761107054,NA,NA
Gulf of Mexico,"1,000-1,500",7.544894161560625,NA,NA
Gulf of Mexico,"500-1,000",32.371602779315666,NA,NA
West,">1,500",14.366692517722006,NA,NA
West,"1,000-1,500",9.16072950532751,NA,NA
West,"500-1,000",45.87112065672669,2.2150418859473473,4.828837521811289
