region,wave_lbl,wave_beg,area_km2
Alaska,0-10,0,283698.0785940956
Alaska,10-20,10,173017.28018766255
Alaska,20-30,20,258071.15849735137
Alaska,>30,30,344236.3311547172
Atlantic Islands,0-10,0,57391.41704049707
Atlantic Islands,0-10,0,25476.763874040065
Atlantic Islands,10-20,10,17135.99964977112
Atlantic Islands,10-20,10,2123.405402814974
East,0-10,0,300821.78846734966
East,10-20,10,33099.30219673226
Gulf of Mexico,0-10,0,265083.96064118046
Hawaii,0-10,0,35094.856635898774
Hawaii,10-20,10,54494.88935618318
Hawaii,20-30,20,84178.656066214
Hawaii,>30,30,6929.055175671589
West,0-10,0,30003.613839659694
West,10-20,10,12821.390361506252
West,20-30,20,25122.24764232338
West,>30,30,181367.7410329773
NA,0-10,0,70242.49959473596
NA,10-20,10,38421.71997091248
NA,20-30,20,1426.980809638817
NA,>30,30,3868.078439598877
