region,wind_lbl,wind_beg,area_km2
Atlantic Islands,0-7,0,8006.059893115355
Atlantic Islands,7-8,7,48890.28985419821
Atlantic Islands,8-9,8,124946.1000720849
Atlantic Islands,9-10,9,75695.43942937088
Atlantic Islands,10-11,10,40.799998167355
Gulf of Mexico,0-7,0,6082.700045517807
Gulf of Mexico,7-8,7,90253.61118920299
Gulf of Mexico,8-9,8,28855.39688691997
Hawaii,0-7,0,38997.82272582279
Hawaii,7-8,7,59130.65798927943
Hawaii,8-9,8,45787.30842517378
Hawaii,9-10,9,14099.110705260262
Hawaii,10-11,10,4184.369020711125
Hawaii,>11,11,545.5342212762114
Pacific Islands,0-7,0,50335.4096014095
Pacific Islands,7-8,7,45118.81025871323
Pacific Islands,8-9,8,88522.49771230292
Pacific Islands,9-10,9,42917.9289659896
Pacific Islands,10-11,10,13190.219668024925
