territory,depth_factor,energy_factor,area_km2,cable2_km2,cable3_km2,cable2_pct,cable3_pct
East,0-100,<=7,6121.639932889605,46.32539953898907,64.77003559796341,0.007567481924263068,0.010580503967568367
East,0-100,7-8,47000.57602724151,231.5602747935579,343.07644394241805,0.004926753975511826,0.007299409346463566
East,0-100,8-9,108489.48852494816,3016.099782730665,4197.75130209951,0.027800848024434045,0.03869270064015647
East,0-100,9-10,44033.40651249187,2929.115560967592,4317.932664820875,0.06652030340047911,0.0980603820328077
East,0-100,10-11,0.6114280578457247,0,0,0,0
East,100-200,8-9,3567.150330379097,0,0,0,0
East,100-200,9-10,22173.47484170115,127.7505286857158,194.50821967809654,0.005761412209756961,0.008772112673665804
East,"200-1,000",8-9,4025.1081949671466,0,0,0,0
East,"200-1,000",9-10,8619.23096604057,157.3667411676246,236.9820898861965,0.01825763131161508,0.02749457472713013
East,">1,000",8-9,7997.178298038674,0,0,0,0
East,">1,000",9-10,452.52993790290947,0,0,0,0
Gulf of Mexico,0-100,<=7,5268.4390465854485,11.939071336625702,14.925047520862243,0.0022661496566736567,0.0028329164272167828
Gulf of Mexico,0-100,7-8,75399.71801373383,740.0850044007133,1101.5341929474575,0.009815487695403703,0.014609261439768468
Gulf of Mexico,0-100,8-9,25870.57816145175,0,0,0,0
Gulf of Mexico,100-200,7-8,1994.6807020300118,0,0,0,0
Gulf of Mexico,100-200,8-9,2150.3577884016936,0,0,0,0
Gulf of Mexico,"200-1,000",7-8,7637.130249255308,0,0,0,0
Gulf of Mexico,"200-1,000",8-9,509.50536390351056,0,0,0,0
Gulf of Mexico,">1,000",7-8,4344.628563150142,335.3025944205008,507.47190203376374,0.07717635455984395,0.11680443901188486
Hawaii,0-100,<=7,1311.8940221758621,97.47867171123228,132.6234375644963,0.07430377001760975,0.10109310304237201
Hawaii,0-100,7-8,1700.9275736608404,69.41279175409007,99.721974624918,0.04080878741044547,0.05862799578837462
Hawaii,0-100,8-9,618.7572820791531,31.903606847779546,46.25934285147127,0.05156077798482919,0.07476169443376934
