region,depth_lbl,depth_beg,length_km,area_km2
Alaska,0-100,0,970.1225049720914,119.40248186214747
Alaska,100-200,100,1188.570424237894,147.0414058760774
Alaska,"200-1,000",200,2425.2568304223637,296.0171391452903
Alaska,">1,000",1000,11196.963435652853,1365.0240565694924
Atlantic Islands,0-100,0,603.8174835666979,71.48901936822375
Atlantic Islands,100-200,100,34.91406696813376,4.430682439880908
Atlantic Islands,"200-1,000",200,964.5892977189108,110.66353937036689
Atlantic Islands,">1,000",1000,2628.6390384050624,319.27922501091257
East,0-100,0,9558.689903625327,1152.7328185473789
East,100-200,100,1550.6207502754241,189.32593538017434
East,"200-1,000",200,4364.360442510353,531.7748517243436
East,">1,000",1000,13008.72169408991,1585.5321965333542
Gulf of Mexico,0-100,0,947.6317010573309,115.06039319885059
Gulf of Mexico,100-200,100,22.277657310001267,2.762645729060769
Gulf of Mexico,"200-1,000",200,122.34589615500482,14.980149123626552
Gulf of Mexico,">1,000",1000,816.7283837395036,99.60822055875033
Hawaii,0-100,0,311.8542497086411,36.59681971141933
Hawaii,100-200,100,106.69190257466697,13.364589173011131
Hawaii,"200-1,000",200,1159.7561036392683,140.34777734989862
Hawaii,">1,000",1000,19917.74914856661,2423.072917071453
Pacific Islands,0-100,0,20.562937956088817,2.2083837866404865
Pacific Islands,100-200,100,13.556592883658947,1.85691296508821
Pacific Islands,"200-1,000",200,378.2038486436375,46.01216761430348
Pacific Islands,">1,000",1000,4495.768200677626,547.4624295386684
West,0-100,0,1052.7095523188977,121.624609893262
West,100-200,100,1476.1541810748568,171.148746056075
West,"200-1,000",200,2120.157010118962,255.99604836830915
West,">1,000",1000,15809.650897742602,1926.3240544137814
