region,depth_lbl,depth_beg,tide_lbl,tide_beg,area_km2
Alaska,0-100,0,0-500,0,94.60912984861241
Alaska,100-200,100,0-500,0,129.01508599213372
Alaska,"200-1,000",200,0-500,0,250.91572529986908
Alaska,0-100,0,"500-1,000",500,18.252436496541335
Alaska,100-200,100,"500-1,000",500,0.8093413984784584
Alaska,"200-1,000",200,"500-1,000",500,1.2122155933879508
Alaska,0-100,0,"1,000-1,500",1000,3.0258856535975633
Alaska,"200-1,000",200,"1,000-1,500",1000,0.37083810625188796
Alaska,0-100,0,">1,500",1500,1.0242301368499231
Alaska,"200-1,000",200,">1,500",1500,0.610113673545096
Atlantic Islands,0-100,0,0-500,0,62.252961938166386
Atlantic Islands,100-200,100,0-500,0,4.288463934336841
Atlantic Islands,"200-1,000",200,0-500,0,56.02825203145428
Atlantic Islands,">1,000",1000,0-500,0,41.97540465522847
East,0-100,0,0-500,0,253.56008040323613
East,100-200,100,0-500,0,12.364388935492784
East,"200-1,000",200,0-500,0,8.079157124998652
East,0-100,0,"500-1,000",500,0.8025189353085481
East,0-100,0,"1,000-1,500",1000,0.30220332062339783
East,0-100,0,">1,500",1500,0.12698350919248164
Gulf of Mexico,0-100,0,0-500,0,33.0480922693072
West,0-100,0,0-500,0,109.1702564329245
West,100-200,100,0-500,0,113.13569889266326
West,"200-1,000",200,0-500,0,67.14551064473184
West,">1,000",1000,0-500,0,21.119472049800873
West,0-100,0,"500-1,000",500,4.013915157154786
West,100-200,100,"500-1,000",500,0.7271481914856536
