region,depth_lbl,depth_beg,wave_lbl,wave_beg,area_km2
Alaska,0-100,0,0-10,0,73.95952962446248
Alaska,100-200,100,0-10,0,10.304848607568106
Alaska,"200-1,000",200,0-10,0,14.602602569808937
Alaska,0-100,0,10-20,10,16.074690658081565
Alaska,100-200,100,10-20,10,76.9802236833841
Alaska,"200-1,000",200,10-20,10,13.266171649336705
Alaska,100-200,100,20-30,20,20.07437419452063
Alaska,"200-1,000",200,20-30,20,20.518493760899887
Alaska,">1,000",1000,20-30,20,4.538482140974518
Alaska,100-200,100,>30,30,1.5836850372449158
Alaska,"200-1,000",200,>30,30,21.028642562528987
Alaska,">1,000",1000,>30,30,18.780532599482914
Atlantic Islands,0-100,0,0-10,0,34.452910235563195
Atlantic Islands,100-200,100,0-10,0,3.536633757420522
Atlantic Islands,"200-1,000",200,0-10,0,102.98159944220131
Atlantic Islands,">1,000",1000,0-10,0,181.68674479511745
Atlantic Islands,0-100,0,0-10,0,50.87473368464726
Atlantic Islands,100-200,100,0-10,0,0.8461320263693933
Atlantic Islands,"200-1,000",200,0-10,0,12.360185559975159
Atlantic Islands,">1,000",1000,0-10,0,61.59167624962383
Atlantic Islands,">1,000",1000,10-20,10,82.21803148506962
Atlantic Islands,">1,000",1000,10-20,10,6.63529153342855
East,0-100,0,0-10,0,954.6801133581024
East,100-200,100,0-10,0,50.72248985100727
East,"200-1,000",200,0-10,0,348.1914366084528
East,">1,000",1000,0-10,0,18.607860814064086
East,0-100,0,10-20,10,43.3755152293226
East,100-200,100,10-20,10,1.419869217329221
East,0-100,0,0-10,0,18.51616588530691
Gulf of Mexico,0-100,0,0-10,0,110.8492304119525
Gulf of Mexico,100-200,100,0-10,0,1.0325769659766406
Gulf of Mexico,"200-1,000",200,0-10,0,0.6965243690276525
Gulf of Mexico,">1,000",1000,0-10,0,9.930540941034238
Hawaii,0-100,0,0-10,0,31.344885163711453
Hawaii,100-200,100,0-10,0,11.614135223908495
Hawaii,"200-1,000",200,0-10,0,91.44304731676563
Hawaii,">1,000",1000,0-10,0,81.01755152774489
Hawaii,0-100,0,10-20,10,0.8092489587567624
Hawaii,100-200,100,10-20,10,0.24101675206041334
Hawaii,"200-1,000",200,10-20,10,29.638487880581454
Hawaii,">1,000",1000,10-20,10,289.1211914766451
Hawaii,"200-1,000",200,20-30,20,5.231946121259888
Hawaii,">1,000",1000,20-30,20,193.45932435943737
Hawaii,">1,000",1000,>30,30,36.78913748021124
West,0-100,0,0-10,0,17.851442837499526
West,100-200,100,0-10,0,55.32556147704256
West,"200-1,000",200,0-10,0,28.400586570643046
West,">1,000",1000,0-10,0,16.403771522966434
West,0-100,0,10-20,10,16.786901777103505
West,100-200,100,10-20,10,4.7966313681826405
West,"200-1,000",200,10-20,10,3.4951734167332598
West,">1,000",1000,10-20,10,4.715722211863994
West,0-100,0,20-30,20,18.713861144408774
West,100-200,100,20-30,20,11.30059785553913
West,"200-1,000",200,20-30,20,48.245839014525394
West,">1,000",1000,20-30,20,0.005853840583080968
West,0-100,0,>30,30,33.43384236684303
West,100-200,100,>30,30,66.93044860647949
West,"200-1,000",200,>30,30,170.6160223684356
West,">1,000",1000,>30,30,299.10649810104866
East,">1,000",1000,0-10,0,0.04739336579446867
