region,depth_lbl,depth_beg,wind_lbl,wind_beg,area_km2
East,0-100,0,0-7,0,6.357931928091661
East,0-100,0,7-8,7,33.595419621488105
East,0-100,0,8-9,8,414.4743103637401
East,0-100,0,9-10,9,373.8386257494201
East,100-200,100,9-10,9,16.29403239313388
East,"200-1,000",200,9-10,9,18.72250831422901
Gulf of Mexico,0-100,0,0-7,0,1.9694487716045752
Gulf of Mexico,0-100,0,7-8,7,92.8105261482531
Gulf of Mexico,">1,000",1000,7-8,7,5.558333434547528
Hawaii,0-100,0,0-7,0,16.489518727665164
Hawaii,100-200,100,0-7,0,4.813369415048468
Hawaii,"200-1,000",200,0-7,0,53.17506421429504
Hawaii,">1,000",1000,0-7,0,80.46963059213405
Hawaii,0-100,0,7-8,7,8.179822828440408
Hawaii,100-200,100,7-8,7,2.90475703704679
Hawaii,"200-1,000",200,7-8,7,6.624274035887503
Hawaii,">1,000",1000,7-8,7,292.7507118116778
Hawaii,0-100,0,8-9,8,5.088707440323641
Hawaii,100-200,100,8-9,8,1.8156996185493808
Hawaii,"200-1,000",200,8-9,8,50.747117653563016
Hawaii,">1,000",1000,8-9,8,152.38943901486093
Hawaii,0-100,0,9-10,9,1.6479056589348995
Hawaii,100-200,100,9-10,9,0.1434336735855937
Hawaii,"200-1,000",200,9-10,9,7.518230842798205
Hawaii,">1,000",1000,9-10,9,5.1450288629543595
Hawaii,0-100,0,10-11,10,1.6482541184172992
Hawaii,100-200,100,10-11,10,0.9768750635146191
Hawaii,"200-1,000",200,10-11,10,7.7729083952850635
Hawaii,">1,000",1000,10-11,10,13.97856238992138
Hawaii,0-100,0,>11,11,0.9992730342191319
Hawaii,100-200,100,>11,11,1.2992999905140399
Hawaii,"200-1,000",200,>11,11,1.209628005604148
Hawaii,">1,000",1000,>11,11,3.204031156306147
West,0-100,0,0-7,0,72.29235041139584
West,100-200,100,0-7,0,98.50516469785559
West,"200-1,000",200,0-7,0,41.05588196900418
West,">1,000",1000,0-7,0,18.5716615548541
West,0-100,0,7-8,7,20.201405503194856
West,100-200,100,7-8,7,26.87324772726496
West,"200-1,000",200,7-8,7,102.9922193302043
West,">1,000",1000,7-8,7,29.689555531017024
West,0-100,0,8-9,8,23.327972828518316
West,100-200,100,8-9,8,40.70912813681911
West,"200-1,000",200,8-9,8,96.58985968150603
West,">1,000",1000,8-9,8,115.40774767829433
West,0-100,0,9-10,9,1.8723639884245693
West,100-200,100,9-10,9,4.84891183516781
West,"200-1,000",200,9-10,9,15.32236773810935
West,">1,000",1000,9-10,9,74.43579801251683
West,">1,000",1000,10-11,10,25.389979965716584
