form,energy,depth,viable_km2,cable_km2,cable_pct_viable
tide,">1,500",0-100,205.2980161947334,1.1512136460424047,0.5607524453380165
tide,"1,000-1,500",0-100,306.1077686221956,3.328088974220961,1.0872278704983
tide,"500-1,000",0-100,1160.0296701966645,23.06887058900467,1.988644875358551
wave,>30,0-100,21213.126109488127,33.43384236684303,0.1576092189066319
wave,>30,100-200,47818.41720983236,68.5141336437244,0.14327980230520182
wave,10-20,0-100,121860.60974425453,77.04635662326443,0.06322498860374938
wave,10-20,100-200,47416.103412329176,83.43774102095637,0.17596920669626515
wave,20-30,0-100,62766.587773741085,18.713861144408774,0.02981500477908387
wave,20-30,100-200,77833.4252711145,31.37497205005976,0.0403104089801681
wind,10-11,0-100,551.1609483127766,1.6482541184172992,0.2990513249284013
wind,10-11,100-200,785.6398538986041,0.9768750635146191,0.12434133256695708
wind,10-11,"200-1,000",3619.0361384529233,7.7729083952850635,0.2147784133100105
wind,>11,0-100,42.32854452298499,0.9992730342191319,2.3607545345116057
wind,>11,100-200,44.73004226483532,1.2992999905140399,2.9047591388830165
wind,>11,"200-1,000",120.20226018025907,1.209628005604148,1.0063271720433142
wind,7-8,0-100,134632.87216507774,154.78717410137648,0.11496982246028808
wind,7-8,100-200,7375.7309039014635,29.77800476431175,0.40372954426198476
wind,7-8,"200-1,000",25132.795225654103,109.61649336609182,0.4361492320368792
wind,8-9,0-100,145957.43390381045,442.89099063258203,0.3034384606435724
wind,8-9,100-200,19615.98621760801,42.52482775536849,0.21678659071037013
wind,8-9,"200-1,000",36387.835007174166,147.33697733506904,0.40490723700934755
wind,9-10,0-100,45164.96759604339,377.35889539677953,0.8355123793553602
wind,9-10,100-200,24752.06898655562,21.28637790188728,0.08599837821011742
wind,9-10,"200-1,000",18430.271953163443,41.56310689513656,0.2255154291849856
