Statute,Key Agencies,Description
National Environmental Policy Act of 1969 (NEPA),All federal agencies,"Requires federal agencies to consider the potential environmental impacts of proposed federal actions. For any major federal action that is likely to result in significant environmental impacts, agencies must prepare an Environmental Impact Statement (EIS)."
Endangered Species Act of 1973,FWS; NOAA NMFS,"Requires federal agencies to consult with the FWS and NOAA NMFS to ensure that proposed Federal actions are not likely to jeopardize the continued existence of any species listed at the federal level as endangered or threatened, or result in the destruction or adverse modification of critical habitat."
Marine Mammal Protection Act of 1972,FWS; NOAA NMFS,"Prohibits, with certain exceptions, the take of marine mammals in U.S. waters by U.S. citizens on the high seas, and importation of marine mammals and marine mammal products into the U.S."
Magnuson_Stevens Fishery Conservation and Management Act,NOAA NMFS,"Requires federal agencies to consult with the NMFS on proposed federal actions that may adversely affect essential fish habitats necessary for spawning, breeding, feeding, or growth to maturity of federally managed fisheries."
"Marine Protection, Research, and Sanctuaries Act of 1972",EPA; USACE; NOAA,"Prohibits the dumping of certain materials without a permit from the EPA. For ocean dumping of dredged material, the USACE is given permitting authority."
National Marine Sanctuaries Act,NOAA,"Prohibits the destruction, loss of, or injury to any sanctuary resource managed under the law or permit."
Coastal Zone Management Act of 1972,NOAA Office of Ocean and Coastal Resource Management (OCRM),Specifies that coastal states may protect coastal resources and manage coastal development.
National Historic Preservation Act of 1966,NPS; Advisory Council on Historic Preservation; State or Tribal Historic Preservation Officer,Requires each federal agency to consult with the Advisory Council on Historic Preservation and the State or Tribal Historic Preservation Officer before allowing a federally licensed activity to proceed in an area where cultural or historic resources might be located.
Federal Aviation Act of 1958,FAA,"Requires that, when construction, alteration, establishment, or expansion of a structure is proposed, adequate public notice be given to the FAA as necessary to promote safety in air commerce and the efficient use and preservation of the navigable airspace."
Federal Power Act,FERC; BOEMRE,"Establishes BOEMRE as the lead authority to regulate offshore wind in federal waters. (Note that under the Federal Power Act, per an MOU between DOI and FERC, FERC has the lead role in regulating offshore kinetic energy, such as wave energy devices.)"
Ports and Waterways Safety Act,USCG,Authorizes the USCG to implement measures for controlling or supervising vessel traffic or for protecting navigation and the marine environment.
Rivers and Harbors Act of 1899,USACE,"Delegates to the USACE the authority to review and regulate certain structures and work that are located in or that affect navigable waters of the United States, including submarine cable systems."
Outer Continental Lands Act of 1953,DOI,"Granted the Department of the Interior with the authority to lease submerged lands on the Outer Continental Shelf. The Energy Policy Act of 2005 amended this act to give DOI the authority to lease renewable energy, including offshore wind, on the OCS."
Clean Water Act,"EPA, USCG",Prohibits the discharge of oil or hazardous substances into waters or adjoining shorelines which may affect natural resources belonging to the United States.
Clean Air Act,"EPA, BOEMRE","Prohibits federal agencies from providing financial assistance or issuing approval for activities that do not conform to approved plans for achieving National Ambient Air Quality Standards. Requires the EPA (or authorized state agencies) to issue a permit before the construction of, or major modification to, any major stationary source of air pollution."
