Category 1,Category 2,Category 3,Category 4
marine sanctuaries,CH  (Critical Habitat),Federal,Exclude
habitat areas,EFH   (Essential Fish Habitat) ,Multi-State,INLAND DATA ONLY
parks,HAPC   (Habitat Areas of Particular Concern),Other,
other env sensitive,Proposed HAPC,Unknown,
fisheries,NMS    (National Marine Sanctuary),Washington,
sea traffic,SPA   (Sanctuary Preservation Area),Oregon,
infrastructure,MMA  (Marine Managed Area,California,
other commercial,MPA   (Marine Protected Area,Texas,
archaeological sites,MPAI   (Marine Protected Area Inventory),Louisiana,
tourism,SMZ   (Special Management Zone),Mississippi,
recreation,Significant Wildlife Habitat,Alabama,
visual impact,NRPA Habitat,Florida,
other areas of concern,Sanctuary,Georgia,
unknown,Harvesting Areas,S. Carolina,
other,Potential Habitat,N. Carolina,
boundary,Distribution,Virginia,
INLAND DATA ONLY,Habitat,Maryland,
,Conservation Area,Delaware,
,Growing Area,Rhode Island,
,(IH) Important Habitat,New Jersey,
,Other,New York,
,Refuge,Massachusetts,
,Non-Environmental,New Hampshire,
,INLAND DATA ONLY,Maine,
,,Minnesota,
,,Illinois,
,,Pennsylvania,
,,Ohio,
,,Michigan,
,,Wisconsin,
,,Indiana,
,,Connecticut,
,,Pacific,
,,Atlantic,
,,Gulf of Mexico,
,,Great Lakes,
,,INLAND DATA ONLY,
