depth_from,depth_to,depth_1x,depth_2x,depth_3x
0.0,250.0,250.0,500.0,750.0
250.0,350.0,300.0,600.0,900.0
350.0,450.0,400.0,800.0,1200.0
450.0,550.0,500.0,1e3,1500.0
550.0,650.0,600.0,1200.0,1800.0
650.0,750.0,700.0,1400.0,2100.0
750.0,850.0,800.0,1600.0,2400.0
850.0,950.0,900.0,1800.0,2700.0
950.0,1050.0,1e3,2e3,3e3
1050.0,1150.0,1100.0,2200.0,3300.0
1150.0,1250.0,1200.0,2400.0,3600.0
1250.0,1350.0,1300.0,2600.0,3900.0
1350.0,1450.0,1400.0,2800.0,4200.0
1450.0,1550.0,1500.0,3e3,4500.0
1550.0,1650.0,1600.0,3200.0,4800.0
1650.0,1750.0,1700.0,3400.0,5100.0
1750.0,1850.0,1800.0,3600.0,5400.0
1850.0,1950.0,1900.0,3800.0,5700.0
1950.0,2050.0,2e3,4e3,6e3
2050.0,2150.0,2100.0,4200.0,6300.0
2150.0,2250.0,2200.0,4400.0,6600.0
2250.0,2350.0,2300.0,4600.0,6900.0
2350.0,2450.0,2400.0,4800.0,7200.0
2450.0,2550.0,2500.0,5e3,7500.0
2550.0,2650.0,2600.0,5200.0,7800.0
2650.0,2750.0,2700.0,5400.0,8100.0
2750.0,2850.0,2800.0,5600.0,8400.0
2850.0,2950.0,2900.0,5800.0,8700.0
2950.0,3050.0,3e3,6e3,9e3
3050.0,3150.0,3100.0,6200.0,9300.0
3150.0,3250.0,3200.0,6400.0,9600.0
3250.0,3350.0,3300.0,6600.0,9900.0
3350.0,3450.0,3400.0,6800.0,10200.0
3450.0,3550.0,3500.0,7e3,10500.0
3550.0,3650.0,3600.0,7200.0,10800.0
3650.0,3750.0,3700.0,7400.0,11100.0
3750.0,3850.0,3800.0,7600.0,11400.0
3850.0,3950.0,3900.0,7800.0,11700.0
3950.0,4050.0,4e3,8e3,12e3
4050.0,4150.0,4100.0,8200.0,12300.0
4150.0,4250.0,4200.0,8400.0,12600.0
4250.0,4350.0,4300.0,8600.0,12900.0
4350.0,4450.0,4400.0,8800.0,13200.0
4450.0,4550.0,4500.0,9e3,13500.0
4550.0,4650.0,4600.0,9200.0,13800.0
4650.0,4750.0,4700.0,9400.0,14100.0
4750.0,4850.0,4800.0,9600.0,14400.0
4850.0,4950.0,4900.0,9800.0,14700.0
4950.0,5050.0,5e3,1e4,15e3
5050.0,5150.0,5100.0,10200.0,15300.0
5150.0,5250.0,5200.0,10400.0,15600.0
5250.0,5350.0,5300.0,10600.0,15900.0
5350.0,5450.0,5400.0,10800.0,16200.0
5450.0,5550.0,5500.0,11e3,16500.0
5550.0,5650.0,5600.0,11200.0,16800.0
5650.0,5750.0,5700.0,11400.0,17100.0
5750.0,5850.0,5800.0,11600.0,17400.0
5850.0,5950.0,5900.0,11800.0,17700.0
5950.0,6050.0,6e3,12e3,18e3
6050.0,6150.0,6100.0,12200.0,18300.0
6150.0,6250.0,6200.0,12400.0,18600.0
6250.0,6350.0,6300.0,12600.0,18900.0
6350.0,6450.0,6400.0,12800.0,19200.0
6450.0,6550.0,6500.0,13e3,19500.0
6550.0,6650.0,6600.0,13200.0,19800.0
6650.0,6750.0,6700.0,13400.0,20100.0
6750.0,6850.0,6800.0,13600.0,20400.0
6850.0,6950.0,6900.0,13800.0,20700.0
6950.0,7050.0,7e3,14e3,21e3
7050.0,7150.0,7100.0,14200.0,21300.0
7150.0,7250.0,7200.0,14400.0,21600.0
7250.0,7350.0,7300.0,14600.0,21900.0
7350.0,7450.0,7400.0,14800.0,22200.0
7450.0,7550.0,7500.0,15e3,22500.0
7550.0,7650.0,7600.0,15200.0,22800.0
7650.0,7750.0,7700.0,15400.0,23100.0
7750.0,7850.0,7800.0,15600.0,23400.0
7850.0,7950.0,7900.0,15800.0,23700.0
7950.0,8050.0,8e3,16e3,24e3
8050.0,8150.0,8100.0,16200.0,24300.0
8150.0,8250.0,8200.0,16400.0,24600.0
8250.0,8350.0,8300.0,16600.0,24900.0
8350.0,8450.0,8400.0,16800.0,25200.0
8450.0,8550.0,8500.0,17e3,25500.0
8550.0,8650.0,8600.0,17200.0,25800.0
