depth_from,depth_to,depth_1x,depth_2x,depth_3x
0.0,250.0,250.0,500.0,750.0
250.0,350.0,300.0,600.0,900.0
350.0,450.0,400.0,800.0,1200.0
450.0,550.0,500.0,1e3,1500.0
550.0,650.0,600.0,1200.0,1800.0
650.0,750.0,700.0,1400.0,2100.0
750.0,850.0,800.0,1600.0,2400.0
850.0,950.0,900.0,1800.0,2700.0
950.0,1050.0,1e3,2e3,3e3
1050.0,1150.0,1100.0,2200.0,3300.0
1150.0,1250.0,1200.0,2400.0,3600.0
1250.0,1350.0,1300.0,2600.0,3900.0
1350.0,1450.0,1400.0,2800.0,4200.0
1450.0,1550.0,1500.0,3e3,4500.0
1550.0,1650.0,1600.0,3200.0,4800.0
1650.0,1750.0,1700.0,3400.0,5100.0
1750.0,1850.0,1800.0,3600.0,5400.0
1850.0,1950.0,1900.0,3800.0,5700.0
1950.0,2050.0,2e3,4e3,6e3
2050.0,2150.0,2100.0,4200.0,6300.0
2150.0,2250.0,2200.0,4400.0,6600.0
2250.0,2350.0,2300.0,4600.0,6900.0
2350.0,2450.0,2400.0,4800.0,7200.0
2450.0,2550.0,2500.0,5e3,7500.0
2550.0,2650.0,2600.0,5200.0,7800.0
2650.0,2750.0,2700.0,5400.0,8100.0
2750.0,2850.0,2800.0,5600.0,8400.0
2850.0,2950.0,2900.0,5800.0,8700.0
2950.0,3050.0,3e3,6e3,9e3
3050.0,3150.0,3100.0,6200.0,9300.0
3150.0,3250.0,3200.0,6400.0,9600.0
3250.0,3350.0,3300.0,6600.0,9900.0
3350.0,3450.0,3400.0,6800.0,10200.0
3450.0,3550.0,3500.0,7e3,10500.0
3550.0,3650.0,3600.0,7200.0,10800.0
3650.0,3750.0,3700.0,7400.0,11100.0
3750.0,3850.0,3800.0,7600.0,11400.0
3850.0,3950.0,3900.0,7800.0,11700.0
3950.0,4050.0,4e3,8e3,12e3
4050.0,4150.0,4100.0,8200.0,12300.0
4150.0,4250.0,4200.0,8400.0,12600.0
4250.0,4350.0,4300.0,8600.0,12900.0
4350.0,4450.0,4400.0,8800.0,13200.0
4450.0,4550.0,4500.0,9e3,13500.0
4550.0,4650.0,4600.0,9200.0,13800.0
4650.0,4750.0,4700.0,9400.0,14100.0
4750.0,4850.0,4800.0,9600.0,14400.0
4850.0,4950.0,4900.0,9800.0,14700.0
4950.0,5050.0,5e3,1e4,15e3
5050.0,5150.0,5100.0,10200.0,15300.0
