depth_from,depth_to,depth_1x,depth_2x,depth_3x
0,250,250,500,750
250,350,300,600,900
350,450,400,800,1200
450,550,500,1e3,1500
550,650,600,1200,1800
650,750,700,1400,2100
750,850,800,1600,2400
850,950,900,1800,2700
950,1050,1e3,2e3,3e3
1050,1150,1100,2200,3300
1150,1250,1200,2400,3600
1250,1350,1300,2600,3900
1350,1450,1400,2800,4200
1450,1550,1500,3e3,4500
1550,1650,1600,3200,4800
1650,1750,1700,3400,5100
1750,1850,1800,3600,5400
1850,1950,1900,3800,5700
1950,2050,2e3,4e3,6e3
2050,2150,2100,4200,6300
2150,2250,2200,4400,6600
2250,2350,2300,4600,6900
2350,2450,2400,4800,7200
2450,2550,2500,5e3,7500
2550,2650,2600,5200,7800
2650,2750,2700,5400,8100
2750,2850,2800,5600,8400
2850,2950,2900,5800,8700
2950,3050,3e3,6e3,9e3
3050,3150,3100,6200,9300
3150,3250,3200,6400,9600
3250,3350,3300,6600,9900
3350,3450,3400,6800,10200
3450,3550,3500,7e3,10500
3550,3650,3600,7200,10800
3650,3750,3700,7400,11100
3750,3850,3800,7600,11400
3850,3950,3900,7800,11700
3950,4050,4e3,8e3,12e3
4050,4150,4100,8200,12300
4150,4250,4200,8400,12600
4250,4350,4300,8600,12900
4350,4450,4400,8800,13200
4450,4550,4500,9e3,13500
4550,4650,4600,9200,13800
4650,4750,4700,9400,14100
4750,4850,4800,9600,14400
4850,4950,4900,9800,14700
4950,5050,5e3,1e4,15e3
5050,5150,5100,10200,15300
5150,5250,5200,10400,15600
5250,5350,5300,10600,15900
5350,5450,5400,10800,16200
5450,5550,5500,11e3,16500
5550,5650,5600,11200,16800
5650,5750,5700,11400,17100
5750,5850,5800,11600,17400
5850,5950,5900,11800,17700
5950,6050,6e3,12e3,18e3
6050,6150,6100,12200,18300
