territory,depth_factor,energy_factor,area_km2,cable2_km2,cable3_km2,cable2_pct,cable3_pct
Alaska,0-100,0-500,80021.55723828444,247.61612386233392,367.55818030250805,0.003094367722999869,0.0045932395342921225
Alaska,0-100,"500-1,000",691.4087062647623,23.249801610771634,33.456058552587116,0.03362671224719659,0.04838825176693065
Alaska,0-100,"1,000-1,500",162.17721475931344,3.7589059612586784,5.415405508066125,0.023177768633141565,0.033391901051594126
Alaska,0-100,">1,500",101.2789388876148,1.2061248475574788,1.8091521050057096,0.011908940405624386,0.017863063385895595
Alaska,100-200,0-500,43715.29927644527,426.33963580611334,643.9682726607736,0.009752641360408898,0.014730958802053936
Alaska,100-200,"500-1,000",24.87150066090733,0.7991208297695822,1.2861273036278384,0.032129980440851684,0.0517108847255588
Alaska,100-200,"1,000-1,500",3.8740123688852846,0,0,0,0
Alaska,100-200,">1,500",3.96351422802238,0,0,0,0
Alaska,"200-1,000",0-500,31456.334664699367,777.8613640580634,1087.8191130508808,0.024728289940626418,0.034581877534245686
Alaska,"200-1,000","500-1,000",5.3952013327036985,1.8599897698422052,2.4963733543434006,0.3447489083618883,0.4627025388675148
Alaska,"200-1,000","1,000-1,500",1.5969487498573731,0.9605867295134023,1.5969487498573731,0.6015138116355921,1
Alaska,"200-1,000",">1,500",1.4594425947983738,0.8107252511778223,1.135061066708839,0.5555033504348462,0.7777360142525174
Alaska,">1,000",0-500,7088.867485287645,0,0,0,0
East,0-100,0-500,74187.98403763652,1665.9509386529692,2321.5739498847297,0.022455805482028073,0.03129312623870417
East,0-100,"500-1,000",390.37824049585987,3.9247834910192028,6.471565161677015,0.010053796763963915,0.016577679005512217
East,0-100,"1,000-1,500",127.224930195994,1.154172471155777,1.6158201562874939,0.009071904927577779,0.01270049945241292
East,0-100,">1,500",86.85590161328591,0,0,0,0
East,100-200,0-500,586.2537697483499,63.15531558327309,75.84740516563724,0.10772692448593137,0.1293764050305294
East,"200-1,000",0-500,331.9920334547946,48.996379728924225,65.61388948305574,0.14758299836009703,0.19763693965864396
Gulf of Mexico,0-100,0-500,64488.7445677574,234.7293472728152,344.0366314771868,0.0036398498504834195,0.0053348322065056245
Gulf of Mexico,0-100,"500-1,000",32.371602779315666,0,0,0,0
Gulf of Mexico,0-100,"1,000-1,500",7.544894161560625,0,0,0,0
Gulf of Mexico,0-100,">1,500",2.7964831761107054,0,0,0,0
Gulf of Mexico,100-200,0-500,315.64523815360303,0,0,0,0
Puerto Rico,0-100,0-500,4459.625526464248,175.282275261843,257.95809097408426,0.03930425866963165,0.05784299364224932
Puerto Rico,100-200,0-500,393.41331252501936,20.73387297276635,34.168474348083585,0.05270252000292381,0.08685134249469664
Puerto Rico,"200-1,000",0-500,4876.750560735165,835.9595514344559,1208.877086074978,0.17141732820315417,0.24788577373798285
Puerto Rico,">1,000",0-500,2568.9031740931246,628.7105530933875,909.1220033220654,0.24473890625143363,0.3538950056547009
US Virgin Islands,0-100,0-500,1600.2970548407752,251.23651341701418,356.71427762855495,0.1569936735539462,0.22290503912978016
US Virgin Islands,100-200,0-500,79.08635031675001,12.893190459565252,18.16521841527576,0.16302674744663936,0.22968841453072433
US Virgin Islands,"200-1,000",0-500,742.2113895100254,80.27203103017142,154.08789088374988,0.10815251849363752,0.20760647581206182
US Virgin Islands,">1,000",0-500,1742.1734448550242,1067.6711008857874,1330.9380860313224,0.6128385804747668,0.76395268792659
West,0-100,0-500,27931.10205928543,633.6214259197059,887.6260062387086,0.022685156660657593,0.03177912580587294
West,0-100,"500-1,000",45.87112065672669,10.734491474504189,14.43720338076311,0.23401415358554248,0.31473404560579427
West,0-100,"1,000-1,500",9.16072950532751,0,0,0,0
West,0-100,">1,500",14.366692517722006,0,0,0,0
West,100-200,0-500,10436.078744670509,447.44511907483843,576.6848047909231,0.04287483163188467,0.05525876326732626
West,100-200,"500-1,000",1.8431463472703544,0.8230046890267884,0.8230046890267884,0.44652161790930717,0.44652161790930717
West,"200-1,000",0-500,21908.981829057862,569.0053363961582,771.0241237257179,0.025971327231714938,0.035192147665351996
West,">1,000",0-500,7426.046208247346,670.3133904738188,905.987084132161,0.09026517903017768,0.12200127210708363
ALL,0-100,0-500,252689.31048426882,3208.436624386681,4535.467136505772,0.012697160074709304,0.017948789079418253
ALL,0-100,"500-1,000",1160.0296701966645,37.90907657629503,54.36482709502724,0.032679402562063906,0.0468650315520038
ALL,0-100,"1,000-1,500",306.1077686221956,4.913078432414455,7.031225664353618,0.016050159244662215,0.02296977203813373
ALL,0-100,">1,500",205.2980161947334,1.2061248475574788,1.8091521050057096,0.005874995140788019,0.00881232141712298
ALL,100-200,0-500,55525.7766918595,970.5671338965565,1348.8341753806933,0.01747957780550684,0.02429203616306087
ALL,100-200,"500-1,000",26.714647008177685,1.6221255187963706,2.1091319926546266,0.060720454898760885,0.07895039721127496
ALL,100-200,"1,000-1,500",3.8740123688852846,0,0,0,0
ALL,100-200,">1,500",3.96351422802238,0,0,0,0
ALL,"200-1,000",0-500,59316.27047745721,2312.094662647773,3287.4221032183823,0.03897909703420195,0.055421928532538925
ALL,"200-1,000","500-1,000",5.3952013327036985,1.8599897698422052,2.4963733543434006,0.3447489083618883,0.4627025388675148
ALL,"200-1,000","1,000-1,500",1.5969487498573731,0.9605867295134023,1.5969487498573731,0.6015138116355921,1
ALL,"200-1,000",">1,500",1.4594425947983738,0.8107252511778223,1.135061066708839,0.5555033504348462,0.7777360142525174
ALL,">1,000",0-500,18825.99031248314,2366.695044452994,3146.047173485549,0.12571423894145348,0.16711190865744086
