territory,depth_factor,energy_factor,area_km2
Alaska,<0,0-500,2219.9261753845244
Alaska,0-100,0-500,78947.82353520555
Alaska,100-200,0-500,43475.677031392785
Alaska,"200-1,000",0-500,29993.023362118613
Alaska,">1,000",0-500,5234.991098686909
Alaska,<0,"500-1,000",13.505904340036768
Alaska,0-100,"500-1,000",733.2509330938949
Alaska,100-200,"500-1,000",24.105474834749167
Alaska,"200-1,000","500-1,000",5.812667690648735
Alaska,<0,"1,000-1,500",4.444981175201974
Alaska,0-100,"1,000-1,500",174.2090699050312
Alaska,100-200,"1,000-1,500",4.103059546340283
Alaska,"200-1,000","1,000-1,500",1.7096081443084516
Alaska,<0,">1,500",7.180354206095497
Alaska,0-100,">1,500",104.96994006053893
Alaska,100-200,">1,500",4.274020360771129
Alaska,"200-1,000",">1,500",1.5386473298776064
