pwr_wm2,area_km2,territory
0.02,0.29168307535256555,Puerto Rico
0.02,0.29168307535256555,Puerto Rico
0.02,0.29168307535256555,Puerto Rico
0.015,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0.01,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
0,0.29168307535256555,Puerto Rico
