territory,depth_factor,energy_factor,area_km2
West,<0,0-500,1674.348724769449
West,0-100,0-500,24570.526785778427
West,100-200,0-500,9297.414956613242
West,"200-1,000",0-500,12702.164363739226
West,">1,000",0-500,2275.337348856719
West,<0,"500-1,000",11.629036843793923
West,0-100,"500-1,000",51.8655043233209
West,100-200,"500-1,000",2.093226631882906
West,<0,"1,000-1,500",6.04709915877284
West,0-100,"1,000-1,500",10.233552422538652
West,<0,">1,500",2.7909688425105417
West,0-100,">1,500",16.280651581311492
