xmin,xmax,ymin,ymax
-180,-165.5,4,18.5
-180,-165.5,18.5,33
-180,-165.5,33,47.5
-180,-165.5,47.5,62
-165.5,-151,4,18.5
-165.5,-151,18.5,33
-165.5,-151,33,47.5
-165.5,-151,47.5,62
-151,-136.5,4,18.5
-151,-136.5,18.5,33
-151,-136.5,33,47.5
-151,-136.5,47.5,62
-136.5,-122,4,18.5
-136.5,-122,18.5,33
-136.5,-122,33,47.5
-136.5,-122,47.5,62
-122,-107.5,4,18.5
-122,-107.5,18.5,33
-122,-107.5,33,47.5
-122,-107.5,47.5,62
-107.5,-93,4,18.5
-107.5,-93,18.5,33
-107.5,-93,33,47.5
-107.5,-93,47.5,62
-93,-78.5,4,18.5
-93,-78.5,18.5,33
-93,-78.5,33,47.5
-93,-78.5,47.5,62
-78.5,-64,4,18.5
-78.5,-64,18.5,33
-78.5,-64,33,47.5
-78.5,-64,47.5,62
