territory,depth_factor,energy_factor,area_km2
Alaska,<0,0-10,1214.8111502783236
Alaska,0-100,0-10,6500.674470308258
Alaska,100-200,0-10,29024.899321630168
Alaska,"200-1,000",0-10,55055.815257141316
Alaska,">1,000",0-10,236329.07421188123
Alaska,<0,10-20,12110.328006376942
Alaska,0-100,10-20,263851.24257517495
Alaska,100-200,10-20,21155.888354886363
Alaska,"200-1,000",10-20,9224.434116306309
Alaska,">1,000",10-20,46.870666428061305
Alaska,<0,20-30,2311.967362380085
Alaska,0-100,20-30,108005.32015765832
Alaska,100-200,20-30,43347.714092254166
Alaska,"200-1,000",20-30,15546.23481881768
Alaska,">1,000",20-30,4864.9838663902
Alaska,<0,>30,1146.4182390618669
Alaska,0-100,>30,55308.821201431565
Alaska,100-200,>30,76731.10711958763
Alaska,"200-1,000",>30,46412.00347801528
Alaska,">1,000",>30,70097.95127580414
East,<0,0-10,4672.989806123992
East,0-100,0-10,218417.91404784736
East,100-200,0-10,35056.89155769381
East,"200-1,000",0-10,43534.61942448456
East,">1,000",0-10,2214.112084336401
East,0-100,10-20,13259.424474648084
East,100-200,10-20,4225.538583505486
East,"200-1,000",10-20,4966.848837906365
East,">1,000",10-20,11526.427654757286
Gulf of Mexico,<0,0-10,3302.1626981597033
Gulf of Mexico,0-100,0-10,230633.26869593386
Gulf of Mexico,100-200,0-10,12755.011166289283
Gulf of Mexico,"200-1,000",0-10,14172.066052611895
Gulf of Mexico,">1,000",0-10,5240.372138499249
Hawaii,">1,000",0-10,6844.454406473643
Hawaii,<0,10-20,939.8634928597475
Hawaii,0-100,10-20,2343.413791997477
Hawaii,100-200,10-20,1087.4002039481961
Hawaii,"200-1,000",10-20,7009.164702979794
Hawaii,">1,000",10-20,22043.077501140822
Hawaii,<0,20-30,595.6111669867005
Hawaii,0-100,20-30,928.15423007495
Hawaii,100-200,20-30,643.228835644877
Hawaii,"200-1,000",20-30,5365.96482551321
Hawaii,">1,000",20-30,46273.44529048182
Hawaii,<0,>30,8.586792708851513
Hawaii,0-100,>30,186.5675870377738
Hawaii,100-200,>30,119.43448040493469
Hawaii,"200-1,000",>30,3218.4860307813447
Hawaii,">1,000",>30,78750.25655039621
Puerto Rico,<0,0-10,813.3270955941265
Puerto Rico,0-100,0-10,5101.336748138235
Puerto Rico,100-200,0-10,808.4617291199842
Puerto Rico,"200-1,000",0-10,9987.78647700185
Puerto Rico,">1,000",0-10,40298.20871649622
Puerto Rico,"200-1,000",10-20,41.35561503020982
Puerto Rico,">1,000",10-20,17136.63161634165
US Virgin Islands,<0,0-10,247.66410365407214
US Virgin Islands,0-100,0-10,2198.01891992989
US Virgin Islands,100-200,0-10,123.01736727554241
US Virgin Islands,"200-1,000",0-10,2504.3403112915057
US Virgin Islands,">1,000",0-10,19784.61433302349
US Virgin Islands,">1,000",10-20,2137.7322631193597
West,<0,0-10,79.20540790211938
West,0-100,0-10,15512.477326152273
West,100-200,0-10,20011.475413022243
West,"200-1,000",0-10,41767.433570334964
West,">1,000",0-10,105286.243166947
West,<0,10-20,926.2450593512307
West,0-100,10-20,4793.563653448101
West,100-200,10-20,2316.594533600004
West,"200-1,000",10-20,14215.73424306055
West,">1,000",10-20,5481.537898945022
West,<0,20-30,633.643263216955
West,0-100,20-30,3745.5648265779096
West,100-200,20-30,703.6844090477548
West,"200-1,000",20-30,2766.952555390567
West,">1,000",20-30,4089.879244400346
West,<0,>30,619.8968701099756
West,0-100,>30,8041.639967582946
West,100-200,>30,2458.6405957054576
West,"200-1,000",>30,8283.183732177013
West,">1,000",>30,4434.193662222782
