territory,depth_factor,energy_factor,area_km2,cable2_km2,cable3_km2,cable2_pct,cable3_pct
Alaska,0-100,0-10,6819.256235588739,0,0,0,0
Alaska,0-100,10-20,239331.34391928915,594.3965513890591,872.2779356404536,0.0024835716946022346,0.0036446456254163517
Alaska,0-100,20-30,104612.40907626686,106.93814880984647,153.04175963318573,0.001022231968024788,0.0014629407828818074
Alaska,0-100,>30,54573.547201762856,0,0,0,0
Alaska,100-200,0-10,29302.354648994613,11.677612589809716,19.998442684400274,3.985213041645574e-4,6.824858590361248e-4
Alaska,100-200,10-20,20628.10292885743,80.94080038776012,111.24673449900386,0.00392381212498843,0.0053929697210971655
Alaska,100-200,20-30,41959.914705292504,600.0854933475614,878.4673644251607,0.014301399265520223,0.020935871071119157
Alaska,100-200,>30,75106.95245603939,153.94455315878741,246.08079118698353,0.0020496711439449257,0.0032764049550674593
Alaska,"200-1,000",0-10,58153.46784891736,275.8121074089919,418.80040954417336,0.004742831642053599,0.0072016411924430085
Alaska,"200-1,000",10-20,8915.52137092508,90.37777179361117,113.65951367936674,0.010137126931056138,0.01274849882027408
Alaska,"200-1,000",20-30,16001.560235785115,106.4566181203335,162.97145150938434,0.0066528898777169915,0.010184722558799165
Alaska,"200-1,000",>30,47174.81735369473,240.3060209947418,352.53321685077685,0.005093947035195485,0.007472911112885665
Alaska,">1,000",0-10,254123.46368321095,1345.949728260439,2073.8958986560046,0.005296440197817756,0.00816097761535831
Alaska,">1,000",10-20,47.8585404972961,0,0,0,0
Alaska,">1,000",20-30,5239.123768055124,0,0,0,0
Alaska,">1,000",>30,73946.24336968838,212.97563452825577,273.0440756553255,0.0028801413678785676,0.0036924671655091837
East,0-100,10-20,212865.75983517137,7175.598144295158,10303.205961499212,0.033709499122129595,0.04840236386292144
East,0-100,20-30,12417.52687548971,348.7033117318197,520.4420681449184,0.02808154274424052,0.04191189383871526
East,100-200,10-20,32425.739844325417,369.31266457303315,539.0800065860358,0.011389490767090817,0.016625064198199816
East,100-200,20-30,4045.770770393661,10.20360259038981,15.3054038313421,0.002522041699707317,0.0037830625361537362
East,"200-1,000",10-20,43004.59239690072,5491.013602994185,7801.630625906375,0.1276843540874931,0.18141389537896485
East,"200-1,000",20-30,5000.559592738583,0,0,0,0
East,">1,000",10-20,2152.5258930138148,704.5005933404484,931.2443016634436,0.32729018295527046,0.4326286177025174
East,">1,000",20-30,11514.425419980702,0,0,0,0
Gulf of Mexico,0-100,10-20,221073.22108570364,885.0787918068221,1320.0978962541267,0.004003554964550423,0.005971315249178747
Gulf of Mexico,100-200,10-20,11584.904112626522,7.458219850753086,10.44177458349686,6.437877929972926e-4,9.013259395143589e-4
Gulf of Mexico,"200-1,000",10-20,13391.008208131321,8.212523029029818,11.19940582718115,6.132863860125923e-4,8.363377613629286e-4
Gulf of Mexico,">1,000",10-20,5188.286811311363,591.1787674601013,899.9459365638287,0.11394488950981456,0.1734572450007565
Hawaii,0-100,10-20,2396.868258499108,217.9999905551666,303.4385306245847,0.09095201197736072,0.12659791774062482
Hawaii,0-100,20-30,946.4104339640173,7.170032760226456,12.741850934071763,0.007576028859059537,0.013463345792483318
Hawaii,0-100,>30,189.61853315206312,0,0,0,0
Hawaii,100-200,10-20,1114.5738643202392,79.0705736774619,128.58514648694006,0.07094242580834764,0.1153670928443689
Hawaii,100-200,20-30,657.6405271466225,3.984174161033377,7.965455239893272,0.006058285638690719,0.012112172092638316
Hawaii,100-200,>30,121.63126856098226,0,0,0,0
Hawaii,"200-1,000",10-20,7184.451121084265,1287.6298180031697,1783.4845483357929,0.17922452199923142,0.2482422829910815
Hawaii,"200-1,000",20-30,5485.47622380697,516.0010048110971,721.5676237970513,0.09406676535606015,0.13154147322076568
Hawaii,"200-1,000",>30,3281.785447741054,148.83453631627955,213.29460752905928,0.0453516961075949,0.06499346496763705
Hawaii,">1,000",0-10,6918.712965329111,2678.718057727317,3258.0366015389477,0.38716999406549235,0.47090211978232693
Hawaii,">1,000",10-20,22680.466122303285,5607.015634393924,7394.179246585365,0.24721783071645756,0.3260153123270316
Hawaii,">1,000",20-30,47544.325657655805,18319.314480562698,22245.34237967417,0.38531021793160797,0.4678863791202415
Hawaii,">1,000",>30,80467.00459854341,17680.80293123943,22708.68448243699,0.21972736551398211,0.282211132323522
Puerto Rico,0-100,10-20,4632.822926454715,193.12330548071188,255.60264562274128,0.04168588105924009,0.055172116370599586
Puerto Rico,100-200,10-20,513.9673767854906,21.08908220540861,38.12796852934483,0.041031947080583574,0.07418363548248688
Puerto Rico,"200-1,000",10-20,8304.774293725395,1806.8055363052406,2550.5818387266763,0.21756226869047576,0.3071223549872689
Puerto Rico,"200-1,000",20-30,18.58949847528863,1.619862198051928,4.044292311735978,0.08713856375443595,0.21755790330288532
Puerto Rico,">1,000",10-20,36941.22949722667,10690.278648484149,14354.11288522527,0.28938610852913577,0.38856619231644396
Puerto Rico,">1,000",20-30,16506.36603155471,5706.4488238006325,7340.335524340516,0.345712000623989,0.4446972465234458
US Virgin Islands,0-100,10-20,1827.8247097202388,311.54317886909837,465.7086205794526,0.17044477909305766,0.25478844776681703
US Virgin Islands,100-200,10-20,96.73697968566012,13.829084376255933,21.141057126755385,0.1429555111312401,0.2185416290176904
US Virgin Islands,"200-1,000",10-20,2153.014807211614,212.6339878641145,360.4575029574293,0.09876104295794343,0.16741989035563606
US Virgin Islands,">1,000",10-20,17960.249424648016,3908.0749261600745,5497.987895234374,0.2175958046995032,0.3061197962924239
US Virgin Islands,">1,000",20-30,1607.1150896249903,335.8357593984397,481.4469932978195,0.20896808297457076,0.29957219393053053
West,0-100,0-10,14393.869873899388,234.4050230587956,331.6830497484355,0.016285059203143527,0.023043354751308483
West,0-100,10-20,5048.264291917054,125.10157893475245,174.52536943119284,0.02478110726790925,0.03457136143023084
West,0-100,20-30,3884.2633585339318,101.69899430898597,144.9109174370719,0.026182311785205786,0.037307181326594385
West,0-100,>30,8003.422038826167,121.97392880416726,170.40773660919217,0.015240222021586248,0.02129185937996408
West,100-200,0-10,18516.062560837752,503.0624604751747,746.9094033278885,0.02716897606185307,0.04033845753511511
West,100-200,10-20,2023.3678932340645,261.76122039789,330.85184994854103,0.1293690689039758,0.16351541954128848
West,100-200,20-30,752.7774094963867,18.900218966740503,23.357812912420453,0.025107314231686207,0.031028844141387017
West,100-200,>30,2604.8415465141175,64.78949412839366,80.45321608740743,0.024872719883901207,0.03088603074343332
West,"200-1,000",0-10,40988.787747075185,2726.8319209206293,3816.2537962372517,0.0665262885486338,0.09310482222079296
West,"200-1,000",10-20,15336.551678236447,404.9936490782069,535.6700611530579,0.026407086649922678,0.03492767294705551
West,"200-1,000",20-30,2926.5904102601567,55.21941141083186,69.3639702627776,0.01886817206030658,0.02370129076470648
West,"200-1,000",>30,8934.485593815087,534.7344878165106,712.5484805195223,0.059850618393372475,0.07975260277019029
West,">1,000",0-10,106234.15043346693,18790.114695480694,24904.262851677046,0.17687452310590746,0.23442803232350656
West,">1,000",10-20,5901.97045750349,550.4891313378495,743.8026528019902,0.0932720919736193,0.12602615654511692
West,">1,000",20-30,4221.154970716471,170.68664210915935,228.07389535259512,0.04043600467011239,0.05403115899198634
West,">1,000",>30,4818.404398396574,7.897874207078687,20.04100634411575,0.0016391057192515581,0.004159262006066743
ALL,0-100,0-10,21213.126109488127,234.4050230587956,331.6830497484355,0.011049999035924829,0.015635745907345622
ALL,0-100,10-20,687176.1050267552,9502.841541330768,13694.856959651765,0.013828830007063145,0.019929180976277622
ALL,0-100,20-30,121860.60974425453,564.5104876108786,831.1365961492478,0.004632427892783411,0.006820387637100545
ALL,0-100,>30,62766.587773741085,121.97392880416726,170.40773660919217,0.0019432939264414824,0.0027149434540471172
ALL,100-200,0-10,47818.41720983236,514.7400730649845,766.9078460122888,0.010764473253187148,0.016037917830843598
ALL,100-200,10-20,68387.39299983482,833.4616454685628,1179.4745377601178,0.012187358062773001,0.017246958628222116
ALL,100-200,20-30,47416.103412329176,633.1734890657251,925.0960364088165,0.013353553824523818,0.019510165741883218
ALL,100-200,>30,77833.4252711145,218.73404728718106,326.53400727439094,0.00281028422590002,0.004195292782464426
ALL,"200-1,000",0-10,99142.25559599255,3002.644028329621,4235.0542057814255,0.030286218628769946,0.04271694425673942
ALL,"200-1,000",10-20,98289.91387621484,9301.666889067557,13156.68349658588,0.09463500904865954,0.1338558858964436
