territory,depth_factor,energy_factor,area_km2
East,<0,<=7,1707.047454315743
East,0-100,<=7,6592.5415244732885
East,0-100,10-11,28.053368189248037
East,100-200,10-11,16.83202091354882
East,<0,7-8,1514.1805480146627
East,0-100,7-8,47793.120715612415
East,<0,8-9,720.2702282589433
East,0-100,8-9,111510.03454964675
East,100-200,8-9,3685.511245862461
East,"200-1,000",8-9,4008.124980038813
East,">1,000",8-9,8007.132615416121
East,<0,9-10,150.085519812477
East,0-100,9-10,48039.289021473065
East,100-200,9-10,25035.52710628968
East,"200-1,000",9-10,9637.033307211432
East,">1,000",9-10,453.0618962563558
Gulf of Mexico,<0,<=7,399.77940315418414
Gulf of Mexico,0-100,<=7,5589.325697229657
Gulf of Mexico,<0,10-11,1021.0684566328878
Gulf of Mexico,0-100,10-11,76543.72170220777
Gulf of Mexico,100-200,10-11,2017.8618830932255
Gulf of Mexico,"200-1,000",10-11,7715.666621406465
Gulf of Mexico,">1,000",10-11,4385.435919609751
Gulf of Mexico,<0,7-8,267.7839265909431
Gulf of Mexico,0-100,7-8,25826.35631951461
Gulf of Mexico,100-200,7-8,2141.5128180346524
Gulf of Mexico,"200-1,000",7-8,504.4654707733064
Hawaii,<0,<=7,271.6548966073024
Hawaii,0-100,<=7,1281.773966175835
Hawaii,100-200,<=7,633.861425417039
Hawaii,"200-1,000",<=7,3418.324115641889
Hawaii,">1,000",<=7,31271.53781059924
Hawaii,<0,10-11,11.709262784797518
Hawaii,0-100,10-11,185.7869695187873
Hawaii,100-200,10-11,89.77101468344765
Hawaii,"200-1,000",10-11,708.0200897207566
Hawaii,">1,000",10-11,3056.8982043511387
Hawaii,0-100,7-8,41.37272850628457
Hawaii,100-200,7-8,43.71458106324407
Hawaii,"200-1,000",7-8,117.09262784797518
Hawaii,">1,000",7-8,330.98182805027653
Hawaii,<0,8-9,1688.4756935678022
Hawaii,0-100,8-9,1668.1796380741532
Hawaii,100-200,8-9,557.3609085563619
Hawaii,"200-1,000",8-9,4563.490015995086
Hawaii,">1,000",8-9,51850.17684612139
Hawaii,<0,9-10,95.23533731635315
Hawaii,0-100,9-10,605.759194733525
Hawaii,100-200,9-10,501.9370647083203
Hawaii,"200-1,000",9-10,5917.861411436666
Hawaii,">1,000",9-10,37685.09134659233
Hawaii,<0,11-12,31.22470075946005
Hawaii,0-100,11-12,195.9349972656118
Hawaii,100-200,11-12,105.38336506317766
Hawaii,"200-1,000",11-12,996.0679542267756
Hawaii,">1,000",11-12,12329.0730948728
West,<0,<=7,1820.415201452843
West,0-100,<=7,15544.552243401891
West,100-200,<=7,4135.700554756944
West,"200-1,000",<=7,16326.132880055862
West,">1,000",<=7,10208.33335730208
West,0-100,10-11,373.77097448024927
West,100-200,10-11,718.0853923026856
West,"200-1,000",10-11,2977.075992882966
West,">1,000",10-11,7585.390634460821
West,<0,7-8,243.50753503792072
West,0-100,7-8,10980.09514173678
West,100-200,7-8,4931.682174665846
West,"200-1,000",7-8,12128.900851391487
West,">1,000",7-8,15654.523388257727
West,<0,8-9,72.00491627465398
West,0-100,8-9,11542.388078827033
West,100-200,8-9,14255.009651937633
West,"200-1,000",8-9,26319.760668829884
West,">1,000",8-9,37374.47908743312
West,<0,9-10,1.3091802959027996
West,0-100,9-10,964.8658780803634
West,100-200,9-10,2536.536823311674
West,"200-1,000",9-10,8947.592732347684
West,">1,000",9-10,32513.49264874603
