territory,depth_factor,energy_factor,area_km2,cable2_km2,cable2_pct,cable3_km2,cable3_pct
East,<0,<=7,1707.047454315743,1.655299855685211,9.696859050404814e-4,2.484948815138922,0.0014556999038641224
East,<0,7-8,1514.1805480146627,0,0,0,0
East,<0,8-9,720.2702282589433,2.0385119872498043,0.002830204425049402,3.400494212148057,0.00472113670499449
East,<0,9-10,150.085519812477,0.5924536679118163,0.003947440556904172,0.9064424715748317,0.006039506494080029
East,0-100,<=7,6592.5415244732885,47.90361792966364,0.007266335411287516,67.39449076909469,0.01022283902481436
East,0-100,10-11,28.053368189248037,0,0,0,0
East,0-100,7-8,47793.120715612415,0,0,0,0
East,0-100,8-9,111510.03454964675,237.73900316180206,0.0021319964980905408,348.1312797496278,0.0031219726651114258
East,0-100,9-10,48039.289021473065,2989.8102957527162,0.0622367723722202,4211.337768823496,0.08766444830066222
East,100-200,10-11,16.83202091354882,0,0,0,0
East,100-200,8-9,3685.511245862461,0,0,0,0
East,100-200,9-10,25035.52710628968,0.12316390299922227,4.91956500361759e-6,0.4928342069391012,1.968539367462674e-5
East,"200-1,000",8-9,4008.124980038813,0,0,0,0
East,"200-1,000",9-10,9637.033307211432,0,0,0,0
East,">1,000",8-9,8007.132615416121,0,0,0,0
East,">1,000",9-10,453.0618962563558,0,0,0,0
Gulf of Mexico,<0,<=7,399.77940315418414,0.7763619750491813,0.001941975922030579,1.1949782466107925,0.0029890940783408033
Gulf of Mexico,<0,10-11,1021.0684566328878,0,0,0,0
Gulf of Mexico,<0,7-8,267.7839265909431,0,0,0,0
Gulf of Mexico,0-100,<=7,5589.325697229657,11.371757127902601,0.0020345490214569175,17.09470702185929,0.0030584560549642443
Gulf of Mexico,0-100,10-11,76543.72170220777,0,0,0,0
Gulf of Mexico,0-100,7-8,25826.35631951461,0,0,0,0
Gulf of Mexico,100-200,10-11,2017.8618830932255,0,0,0,0
Gulf of Mexico,100-200,7-8,2141.5128180346524,0,0,0,0
Gulf of Mexico,"200-1,000",10-11,7715.666621406465,0,0,0,0
Gulf of Mexico,"200-1,000",7-8,504.4654707733064,0,0,0,0
Gulf of Mexico,">1,000",10-11,4385.435919609751,0,0,0,0
Hawaii,<0,<=7,271.6548966073024,2.7656013458351016,0.010180568730307064,4.698010698642556,0.017294040185971263
Hawaii,<0,10-11,11.709262784797518,0,0,0,0
Hawaii,<0,8-9,1688.4756935678022,0.11957437038695812,7.081794001682886e-5,0.2733674850197846,1.6190193679492686e-4
Hawaii,<0,9-10,95.23533731635315,0,0,0,0
